Temperature (°C),RPM,Torque (Nm),Vibrations (mm/s),Power Output (MW),Fuel Flow Rate (kg/s),Air Pressure (kPa),Exhaust Gas Temperature (°C),Oil Temperature (°C),Fault
1108.6048309611788,14909.101781284162,3416.302331326453,2.197369449641023,7640.099876007668,2.428036772327213,-77.4571153089245,789.2418195560081,121.4465669047249,1.0
1051.809732271384,14845.92693663443,3533.8165537311256,1.6985253386427746,7869.4173546242355,0.4528626081155318,104.7133934146576,520.1205177701897,151.55029991182386,0.0
895.3005739009533,15739.491996592356,3462.615607419526,4.060731871195941,8174.971596038311,4.039318615838418,161.15581074330908,509.9442215761502,122.692543655469,1.0
917.3634556470282,14815.41893872832,3845.938875812698,1.6533402615533015,8546.879348686041,3.791563959298006,157.3914865415225,534.0776037047957,130.70341391464186,0.0
912.8573903863618,15167.737448200887,3614.002427487193,0.0458481457702431,8066.209709714692,1.9693687198032253,139.55281079628045,463.8605120787836,118.21542075923335,0.0
911.4491162727336,15702.736149081267,3744.533287492235,1.0379580715534484,8696.433953989987,3.018429613385699,137.30486972233894,480.2031252701,111.06941773883834,0.0
967.697365257568,15129.24623837429,3655.3307810121073,1.0548980691158476,8216.554001053362,3.6355588754881376,136.93777686440748,492.9608398465693,109.080480849678,0.0
973.6643154358928,14498.924464618738,3322.1085210955425,-0.4983627868323577,7225.05007659458,3.4460550411982003,40.91049749200784,625.5576024127687,132.96432592343325,1.0
979.5936136793072,15163.519731834178,3416.6220970995373,2.310902499442297,7771.202487838424,1.6890740561580402,71.7979537039618,608.0976231225669,100.2330663204442,0.0
950.466524651292,14839.578829380478,3495.954303298155,3.5074621833062167,7781.773420155732,3.578156333744721,112.68382645347984,519.8896657428485,112.26605372934178,0.0
941.6341118928456,14704.917665823965,3396.051450666519,1.610901358690516,7490.798545642979,5.284849250415185,157.38141440997947,506.5081981138084,111.41893647302577,1.0
865.8347175700712,15236.042405890736,3191.2704069505176,1.996240636088732,7264.176288594963,2.8321897753480334,169.0988007977646,532.6388705742793,114.83282433843044,0.0
927.1887766448008,13923.568640176823,3671.930017644728,4.099841397889462,7603.769325095991,4.441540684294644,136.33289390173442,541.2894413691602,127.1988450999421,0.0
945.4031141574204,14104.394951924696,3363.5956463292005,2.384216949478488,7116.222218160219,2.535653849857849,158.34603082749675,549.8003030169748,116.62617838326447,1.0
867.5714405315748,15514.351023755882,3611.372364041789,0.5925794657860273,8391.608457815335,2.3183365124760367,154.76106114938895,538.8550318701064,110.39503208298495,0.0
1046.366208060489,14741.896733950169,3692.6910525798007,1.4882660064865143,8165.590525126974,6.6878223882145775,157.62705475294396,533.9097899388796,119.37262546639822,1.0
901.1596265515868,15113.0616234291,3372.1045338138047,2.1561853232920014,7545.046036966565,0.4009456610305764,137.974304160426,529.4351925813352,129.07761608863677,0.0
879.644705202193,14815.603116790126,3191.31519431483,5.0088232208972405,7007.0826341213815,5.325273252043774,144.6573413897748,526.3717424312935,119.12782965769892,0.0
908.7912169537911,14594.929363273972,3570.1571333209963,4.902876307539255,7780.756997447084,3.6606399778636463,124.83541134274915,460.06549177093,123.04030582442412,0.0
862.1530606049388,15371.212120748776,3356.8809025349697,1.4334218549990256,7712.80961512444,1.9115234109391144,155.8935337135759,467.32754831637567,106.00283271322364,0.0
889.8780939018408,15616.709024657735,3592.436349813479,4.3445379117030365,8415.304974696097,2.108371982689132,121.93826789540852,519.0488528493588,137.006152804669,1.0
966.5101854704952,14538.75334391002,3291.112810827904,1.4636345870291183,7116.294543877292,3.1148288033288214,133.3746278377112,456.85803063042135,126.86553848398192,0.0
878.4726965173076,14199.195982541269,3389.306007577684,5.640264772177147,7218.813036960005,3.998259085833267,106.57027909907234,486.9490281634249,127.31101885234128,1.0
903.2021288689672,14715.55608670448,3495.494245165491,3.638891761964944,7715.721242322827,2.6374539237824286,131.47295394093047,506.768308303638,121.8809997362537,1.0
928.5971082433296,14819.805203593633,3769.315144912151,2.4941641686170417,8379.077429783005,1.14140209131857,151.42848849132938,501.5345978676796,105.53165520398056,1.0
922.560371211966,14737.185586694131,3036.6728689100178,0.0386715913532249,6595.32771473846,2.34178048938476,170.19398251580802,465.1824812527544,123.1687746611962,0.0
